               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028304,            0.010912,            0.010782,             0.97226,             0.97604,             0.99133,             0.76404,             0.01617,           0.0052797,           0.0021079,            0.008812,            0.008812,            0.008812
                  38,            0.028482,            0.010657,           0.0098892,             0.94902,             0.92192,             0.97512,             0.74579,            0.016719,           0.0055524,            0.003084,            0.008779,            0.008779,            0.008779
                  39,            0.029558,             0.01076,           0.0096995,             0.96144,             0.93762,             0.97733,             0.73873,            0.016388,           0.0060665,           0.0033017,            0.008746,            0.008746,            0.008746
                  40,            0.028042,            0.011148,            0.010544,             0.95419,             0.93801,             0.98038,             0.75677,            0.015133,           0.0053581,           0.0031642,            0.008713,            0.008713,            0.008713
                  41,            0.027602,              0.0105,            0.010575,             0.91512,             0.90733,             0.95886,             0.74372,            0.015239,           0.0055122,           0.0065945,             0.00868,             0.00868,             0.00868
                  42,            0.028114,            0.010957,           0.0099259,             0.97947,             0.98152,             0.99174,             0.76014,            0.015671,           0.0051474,           0.0017803,            0.008647,            0.008647,            0.008647
                  43,            0.027711,            0.010877,           0.0092592,             0.97249,             0.96686,             0.98933,              0.7778,            0.014318,           0.0051858,           0.0018982,            0.008614,            0.008614,            0.008614
                  44,            0.025943,            0.010475,           0.0089622,             0.95495,             0.95262,             0.98285,             0.74208,            0.016409,           0.0058165,           0.0019769,            0.008581,            0.008581,            0.008581
                  45,             0.02648,            0.010861,           0.0088134,             0.94455,             0.95321,             0.98376,             0.77153,            0.013786,           0.0055295,           0.0024688,            0.008548,            0.008548,            0.008548
                  46,            0.026569,            0.010399,            0.010595,              0.8291,              0.5495,             0.62915,             0.46335,             0.02921,            0.013734,            0.022546,            0.008515,            0.008515,            0.008515
                  47,            0.027385,            0.010953,           0.0095129,             0.94634,             0.87772,             0.95761,             0.73779,            0.014969,           0.0056594,           0.0056042,            0.008482,            0.008482,            0.008482
                  48,            0.026341,            0.010246,           0.0085482,             0.97947,             0.96701,             0.99174,             0.78508,            0.014173,            0.005139,           0.0013478,            0.008449,            0.008449,            0.008449
                  49,            0.026419,            0.010936,           0.0095026,             0.98097,              0.9849,             0.99338,             0.79026,            0.014096,           0.0049808,           0.0014757,            0.008416,            0.008416,            0.008416
                  50,             0.02674,            0.010505,           0.0084571,             0.98672,             0.98965,              0.9938,             0.80073,            0.015269,           0.0048838,           0.0010981,            0.008383,            0.008383,            0.008383
                  51,            0.024761,            0.010126,            0.008035,             0.98565,              0.9872,             0.99234,             0.80791,            0.013637,           0.0047933,            0.001238,             0.00835,             0.00835,             0.00835
                  52,            0.025043,            0.010031,            0.008769,             0.97616,             0.97345,             0.99177,             0.79011,            0.013856,           0.0050552,           0.0017263,            0.008317,            0.008317,            0.008317
                  53,            0.025494,           0.0099672,           0.0096126,             0.96932,             0.99195,             0.99302,             0.79557,            0.013103,           0.0049482,           0.0014025,            0.008284,            0.008284,            0.008284
                  54,            0.025589,            0.010099,           0.0079363,             0.95295,             0.87337,             0.96259,             0.71923,            0.015671,           0.0077736,           0.0022821,            0.008251,            0.008251,            0.008251
                  55,              0.0242,            0.010064,           0.0082196,             0.96224,             0.98477,             0.98978,             0.79591,            0.012422,           0.0047125,           0.0015812,            0.008218,            0.008218,            0.008218
                  56,            0.024865,            0.010401,           0.0081837,             0.98919,             0.98565,             0.99269,             0.79765,            0.013261,           0.0048598,           0.0010561,            0.008185,            0.008185,            0.008185
                  57,            0.024182,           0.0099673,           0.0096596,             0.99154,             0.99337,             0.99354,             0.80886,            0.012702,           0.0045965,           0.0010377,            0.008152,            0.008152,            0.008152
                  58,            0.023741,           0.0096916,           0.0087502,             0.98022,             0.98116,             0.99162,             0.80211,            0.013167,           0.0046535,           0.0014302,            0.008119,            0.008119,            0.008119
                  59,            0.023995,            0.010198,           0.0081551,             0.96574,             0.98164,             0.99191,             0.80194,            0.012567,            0.004626,            0.001632,            0.008086,            0.008086,            0.008086
                  60,            0.023986,           0.0098803,            0.007929,             0.99207,             0.99187,             0.99348,             0.81171,             0.01208,           0.0046602,          0.00089796,            0.008053,            0.008053,            0.008053
                  61,            0.024401,            0.010309,           0.0073779,             0.63477,             0.43619,             0.48503,             0.33817,            0.029493,            0.014469,            0.030175,             0.00802,             0.00802,             0.00802
                  62,            0.025034,            0.010496,            0.011827,             0.93602,               0.958,             0.97904,             0.75571,            0.014668,           0.0053402,           0.0030371,            0.007987,            0.007987,            0.007987
                  63,            0.025887,            0.010724,            0.010205,             0.97862,             0.98311,             0.99211,             0.80246,            0.012713,            0.004872,           0.0013856,            0.007954,            0.007954,            0.007954
                  64,            0.025273,           0.0099973,           0.0099802,             0.98517,             0.98413,             0.99246,              0.7878,            0.013804,           0.0050557,            0.001331,            0.007921,            0.007921,            0.007921
                  65,            0.023995,            0.010082,           0.0090744,             0.98243,             0.98358,             0.99154,             0.80613,            0.012205,           0.0048943,           0.0011846,            0.007888,            0.007888,            0.007888
                  66,            0.024543,             0.01016,           0.0078265,             0.97393,             0.97337,             0.98954,             0.79568,            0.012128,            0.004903,           0.0014587,            0.007855,            0.007855,            0.007855
                  67,            0.023719,            0.010214,           0.0075391,             0.98791,             0.98099,             0.99232,             0.79641,             0.01299,           0.0048205,           0.0014257,            0.007822,            0.007822,            0.007822
                  68,            0.024284,            0.010017,           0.0082611,             0.98526,             0.98708,             0.99407,             0.81123,            0.012466,           0.0048189,           0.0010253,            0.007789,            0.007789,            0.007789
                  69,            0.024043,            0.010093,           0.0076624,             0.97306,              0.9777,             0.98757,             0.80245,            0.012424,           0.0047347,           0.0021014,            0.007756,            0.007756,            0.007756
                  70,            0.024034,           0.0098021,           0.0091667,             0.98631,             0.98784,              0.9936,             0.80915,             0.01303,           0.0048321,           0.0013746,            0.007723,            0.007723,            0.007723
                  71,            0.025229,            0.009981,           0.0082622,             0.96078,             0.98413,              0.9917,             0.78189,            0.013607,           0.0052517,           0.0014472,             0.00769,             0.00769,             0.00769
                  72,            0.023324,            0.010151,           0.0088487,             0.92391,             0.91979,             0.97427,             0.76916,             0.01324,           0.0052163,           0.0037441,            0.007657,            0.007657,            0.007657
                  73,            0.024074,             0.01028,            0.007718,              0.9933,             0.99681,             0.99376,             0.81278,            0.012283,           0.0046615,          0.00089399,            0.007624,            0.007624,            0.007624
                  74,            0.024317,           0.0096206,           0.0083145,             0.94495,             0.89848,              0.9459,               0.714,            0.016085,           0.0067253,           0.0053257,            0.007591,            0.007591,            0.007591
                  75,            0.023161,            0.010001,           0.0095781,             0.91387,             0.86555,              0.9537,             0.70743,            0.015145,           0.0061968,           0.0057646,            0.007558,            0.007558,            0.007558
                  76,            0.022924,           0.0099792,           0.0090261,             0.94752,             0.97353,              0.9859,             0.78954,            0.013191,           0.0051449,           0.0027982,            0.007525,            0.007525,            0.007525
                  77,            0.023819,             0.01011,           0.0086379,             0.97132,             0.97959,             0.99148,             0.79763,            0.012808,           0.0048067,           0.0015405,            0.007492,            0.007492,            0.007492
                  78,            0.022891,           0.0098079,           0.0080592,             0.98014,             0.99751,             0.99358,             0.80979,            0.011899,           0.0046374,          0.00084304,            0.007459,            0.007459,            0.007459
                  79,            0.023202,           0.0099682,           0.0092704,             0.99021,             0.98833,             0.99353,             0.81987,            0.011611,           0.0045985,           0.0010458,            0.007426,            0.007426,            0.007426
                  80,            0.023339,           0.0099125,           0.0076596,             0.99227,             0.97389,             0.99199,             0.80578,            0.012638,           0.0047057,            0.001142,            0.007393,            0.007393,            0.007393
                  81,            0.023109,           0.0098007,           0.0072428,             0.99387,             0.99681,             0.99424,             0.82521,            0.011551,           0.0044208,           0.0006554,             0.00736,             0.00736,             0.00736
                  82,            0.022505,           0.0098664,           0.0072889,             0.97588,             0.96618,              0.9899,             0.81105,             0.01203,           0.0046654,            0.002021,            0.007327,            0.007327,            0.007327
                  83,            0.021849,           0.0094175,           0.0078098,             0.99253,             0.99328,             0.99407,             0.80403,            0.012478,           0.0046637,          0.00096077,            0.007294,            0.007294,            0.007294
                  84,            0.022159,            0.009445,           0.0077028,             0.98631,             0.99083,             0.99389,             0.82291,            0.011083,           0.0045727,          0.00083893,            0.007261,            0.007261,            0.007261
                  85,            0.023185,           0.0095001,           0.0088248,             0.98657,             0.99467,             0.99366,             0.80997,            0.012427,           0.0049281,          0.00080266,            0.007228,            0.007228,            0.007228
                  86,            0.021548,           0.0094219,           0.0080731,             0.97072,             0.97193,             0.99265,             0.81689,            0.011976,           0.0046448,           0.0014832,            0.007195,            0.007195,            0.007195
                  87,            0.023152,           0.0095833,           0.0074217,             0.98376,             0.98712,             0.99384,              0.8187,            0.012038,           0.0047206,           0.0011522,            0.007162,            0.007162,            0.007162
                  88,             0.02291,           0.0097462,           0.0089169,             0.83325,             0.78891,             0.92313,             0.68887,            0.017509,           0.0073163,            0.013689,            0.007129,            0.007129,            0.007129
                  89,            0.023635,           0.0097612,           0.0075125,             0.99073,             0.97994,              0.9935,              0.8082,            0.013448,           0.0047341,          0.00098947,            0.007096,            0.007096,            0.007096
                  90,            0.023557,           0.0096823,           0.0086088,             0.97715,             0.96046,             0.98986,             0.80927,            0.011734,            0.004866,           0.0012858,            0.007063,            0.007063,            0.007063
                  91,            0.023167,           0.0097294,           0.0073622,             0.99179,             0.99304,             0.99423,             0.81866,            0.012107,           0.0046082,           0.0007044,             0.00703,             0.00703,             0.00703
                  92,            0.023043,           0.0095713,           0.0073943,             0.99313,             0.99161,             0.99222,             0.82516,            0.011554,           0.0044929,          0.00081303,            0.006997,            0.006997,            0.006997
                  93,            0.022306,           0.0091995,           0.0081101,             0.99554,             0.99752,             0.99423,             0.82833,            0.011118,           0.0043725,           0.0005324,            0.006964,            0.006964,            0.006964
                  94,            0.021955,           0.0093115,           0.0065787,             0.98972,             0.99577,             0.99414,             0.82671,            0.011454,           0.0044344,          0.00061622,            0.006931,            0.006931,            0.006931
